"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-04-19","0.93","0.0","0.0","62","67","56"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-04-20","0.30","0.0","0.0","56","58","45"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-04-21","0.00","0.0","0.0","50","62","41"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-04-22","0.10","0.0","0.0","46","50","37"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-04-23","0.00","0.0","0.0","44","57","32"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-04-24","0.00","0.0","0.0","48","62","32"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-04-25","0.62","0.0","0.0","50","56","44"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-04-26","0.00","0.0","0.0","48","58","39"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-04-27","0.00","0.0","0.0","47","58","35"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-04-28","0.00","0.0","0.0","51","63","39"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-04-29","0.00","0.0","0.0","55","67","41"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-04-30","0.00","0.0","0.0","53","61","44"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-05-01","0.00","0.0","0.0","53","71","39"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-05-02","0.00","0.0","0.0","62","75","49"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-05-03","0.00","0.0","0.0","65","78","53"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-05-04","0.13","0.0","0.0","66","76","58"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-05-05","0.00","0.0","0.0","71","83","62"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-05-06","0.00","0.0","0.0","73","86","61"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-05-07","0.00","0.0","0.0","74","86","64"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-05-08","0.00","0.0","0.0","75","85","63"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-05-09","0.05","0.0","0.0","72","80","66"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-05-10","0.05","0.0","0.0","71","83","64"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-05-11","0.06","0.0","0.0","69","78","61"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-05-12","0.00","0.0","0.0","60","64","50"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-05-13","0.00","0.0","0.0","55","67","43"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-05-14","0.00","0.0","0.0","59","70","49"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-05-15","0.12","0.0","0.0","69","82","60"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-05-16","0.53","0.0","0.0","68","71","64"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-05-17","0.00","0.0","0.0","70","79","64"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-05-18","0.00","0.0","0.0","73","79","62"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-05-19","0.00","0.0","0.0","59","65","48"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-05-20","0.00","0.0","0.0","49","52","43"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-05-21","0.00","0.0","0.0","51","64","47"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-05-22","0.00","0.0","0.0","59","76","44"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-05-23","0.00","0.0","0.0","67","79","55"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-05-24","0.00","0.0","0.0","71","85","59"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-05-25","0.01","0.0","0.0","74","79","67"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-05-26","0.07","0.0","0.0","71","80","64"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-05-27","0.07","0.0","0.0","72","82","63"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-05-28","0.00","0.0","0.0","72","84","60"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-05-29","0.00","0.0","0.0","74","84","65"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-05-30","1.28","0.0","0.0","74","84","66"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-05-31","0.08","0.0","0.0","63","67","55"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-06-01","0.00","0.0","0.0","56","64","52"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-06-02","0.00","0.0","0.0","59","70","49"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-06-03","0.00","0.0","0.0","61","71","51"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-06-04","0.00","0.0","0.0","68","82","57"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-06-05","0.00","0.0","0.0","76","87","63"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-06-06","0.00","0.0","0.0","69","76","61"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-06-07","0.00","0.0","0.0","74","88","62"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-06-08","1.90","0.0","0.0","72","79","60"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-06-09","0.00","0.0","0.0","70","82","58"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-06-10","0.00","0.0","0.0","77","90","65"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-06-11","0.00","0.0","0.0","79","90","69"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-06-12","0.21","0.0","0.0","80","89","72"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-06-13","0.00","0.0","0.0","78","88","71"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-06-14","0.13","0.0","0.0","78","86","70"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-06-15","0.54","0.0","0.0","77","88","70"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-06-16","0.50","0.0","0.0","77","84","71"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-06-17","0.75","0.0","0.0","76","79","72"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-06-18","0.67","0.0","0.0","75","86","68"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-06-19","0.67","0.0","0.0","72","78","68"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-06-20","0.00","0.0","0.0","74","79","70"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-06-21","0.27","0.0","0.0","74","84","65"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-06-22","0.00","0.0","0.0","76","86","69"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-06-23","0.00","0.0","0.0","80","83","68"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-06-24","0.00","0.0","0.0","72","80","62"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-06-25","0.85","0.0","0.0","72","83","66"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-06-26","1.57","0.0","0.0","73","76","66"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-06-27","0.00","0.0","0.0","67","72","60"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-06-28","0.09","0.0","0.0","67","78","55"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-06-29","0.21","0.0","0.0","67","77","63"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-06-30","0.00","0.0","0.0","71","82","64"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-07-01","0.00","0.0","0.0","71","78","62"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-07-02","0.00","0.0","0.0","70","80","62"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-07-03","0.07","0.0","0.0","70","76","63"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-07-04","0.00","0.0","0.0","72","82","62"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-07-05","0.00","0.0","0.0","73","81","64"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-07-06","0.00","0.0","0.0","74","85","63"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-07-07","4.43","0.0","0.0","75","79","62"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-07-08","0.36","0.0","0.0","63","70","59"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-07-09","0.04","0.0","0.0","69","74","66"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-07-10","0.03","0.0","0.0","68","75","64"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-07-11","0.01","0.0","0.0","69","78","59"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-07-12","1.49","0.0","0.0","76","87","68"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-07-13","1.49","0.0","0.0","74","82","67"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-07-14","0.26","0.0","0.0","78","88","67"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-07-15","0.00","0.0","0.0","72","82","64"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-07-16","0.00","0.0","0.0","72","83","63"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-07-17","3.43","0.0","0.0","78","90","68"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-07-18","0.00","0.0","0.0","77","91","69"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-07-19","0.00","0.0","0.0","81","87","74"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-07-20","0.27","0.0","0.0","78","86","70"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-07-21","0.00","0.0","0.0","76","84","66"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-07-22","0.00","0.0","0.0","72","83","59"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-07-23","0.00","0.0","0.0","75","84","64"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-07-24","0.00","0.0","0.0","76","85","66"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-07-25","0.00","0.0","0.0","77","87","67"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-07-26","1.25","0.0","0.0","80","88","71"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-07-27","0.01","0.0","0.0","76","89","71"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-07-28","0.00","0.0","0.0","81","92","74"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-07-29","0.00","0.0","0.0","82","91","71"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-07-30","0.00","0.0","0.0","76","86","64"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-07-31","0.00","0.0","0.0","77","88","66"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-08-01","0.00","0.0","0.0","75","84","63"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-08-02","0.00","0.0","0.0","75","88","64"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-08-03","0.00","0.0","0.0","80","89","69"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-08-04","0.00","0.0","0.0","74","83","62"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-08-05","0.00","0.0","0.0","75","85","66"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-08-06","0.45","0.0","0.0","70","75","65"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-08-07","0.00","0.0","0.0","70","83","59"
