soccode,soctitle,freq,socagg
43-9071,"Office machine operators, except computer",19,
43-9081,Proofreaders and copy markers,747,
43-9111,Statistical assistants,3340,Statistical assistants
43-9199,"Office and administrative support workers, all other",474,
45-1011,"First-line supervisors of farming, fishing, and forestry workers",36,
45-2011,Agricultural inspectors,27,
45-2021,Animal breeders,34,
45-2041,"Graders and sorters, agricultural products",17,
45-2091,Agricultural equipment operators,19,
45-2092,"Farmworkers and laborers, crop, nursery, and greenhouse",183,
45-2093,"Farmworkers, farm, ranch, and aquacultural animals",209,
45-2099,"Agricultural workers, all other",1,
45-3000,,99,
45-3011,,75,
45-4011,Forest and conservation workers,8,
45-4021,Fallers,318,
45-4023,Log graders and scalers,2,
45-4029,"Logging workers, all other",1,
47-1011,First-line supervisors of construction trades and extraction workers,429,
47-2011,Boilermakers,25,
47-2021,Brickmasons and blockmasons,146,Construction workers
47-2022,Stonemasons,43,
47-2031,Carpenters,3684,Construction workers
47-2041,Carpet installers,16,
47-2042,"Floor layers, except carpet, wood, and hard tiles",35,
47-2043,Floor sanders and finishers,7,
47-2044,Tile and marble setters,95,
47-2051,Cement masons and concrete finishers,82,Construction workers
47-2053,Terrazzo workers and finishers,1,Construction workers
47-2061,Construction laborers,2372,Construction workers
47-2071,"Paving, surfacing, and tamping equipment operators",4,Construction workers
47-2072,Pile-driver operators,1,Construction workers
47-2073,Operating engineers and other construction equipment operators,132,Construction workers
47-2081,Drywall and ceiling tile installers,22,
47-2082,Tapers,3,
47-2111,Electricians,3628,Electricians
47-2121,Glaziers,101,
47-2131,"Insulation workers, floor, ceiling, and wall",37,
47-2132,"Insulation workers, mechanical",6,
47-2141,"Painters, construction and maintenance",1082,Painters
47-2142,Paperhangers,18,
47-2151,Pipelayers,5,
47-2152,"Plumbers, pipefitters, and steamfitters",1163,"Plumbers, pipefitters, and steamfitters"
47-2161,Plasterers and stucco masons,21,
47-2171,Reinforcing iron and rebar workers,1,Construction workers
47-2181,Roofers,125,Construction workers
47-2211,Sheet metal workers,154,
47-2221,Structural iron and steel workers,223,
47-2231,Solar photovoltaic installers,133,
47-3011,"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",8,Construction workers
47-3012,Helpers--carpenters,54,Construction workers
47-3013,Helpers--electricians,50,
47-3014,"Helpers--painters, paperhangers, plasterers, and stucco masons",1,
47-3015,"Helpers--pipelayers, plumbers, pipefitters, and steamfitters",21,
47-3019,"Helpers, construction trades, all other",1,
47-4011,Construction and building inspectors,377,
47-4021,Elevator installers and repairers,104,
47-4031,Fence erectors,11,
47-4041,Hazardous materials removal workers,13,
47-4051,Highway maintenance workers,15,
47-4061,Rail-track laying and maintenance equipment operators,19,
47-4071,Septic tank servicers and sewer pipe cleaners,2,
47-4099,"Construction and related workers, all other",25,
47-5013,"Service unit operators, oil, gas, and mining",5,Oil and gas extraction workers
47-5021,"Earth drillers, except oil and gas",2,
47-5031,"Explosives workers, ordnance handling experts, and blasters",6,
47-5049,"Mining machine operators, all other",59,Mining workers
47-5051,"Rock splitters, quarry",1,
47-5071,"Roustabouts, oil and gas",3,Oil and gas extraction workers
47-5099,"Extraction workers, all other",9,
49-1011,"First-line supervisors of mechanics, installers, and repairers",423,
49-2011,"Computer, automated teller, and office machine repairers",27,
49-2021,"Radio, cellular, and tower equipment installers and repairs",34,
49-2022,"Telecommunications equipment installers and repairers, except line installers",536,
49-2091,Avionics technicians,79,
